Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression (Tuned),0.5579,0.5994373302289484,0.5672970987881013,0.5829245283018868,0.5854416081168066
XGBoost (Tuned),0.567,0.5752325738169071,0.7834190231362468,0.6633755733499184,0.5822714039434728
Random Forest (Tuned),0.56405,0.5678765540076217,0.8345574733749541,0.67586155619168,0.5776817557651915
