feature,importance
cat__college_tier_Tier-1,0.5591
cat__college_tier_Tier-3,-0.4675
num__internships,0.2155
cat__branch_CSE,0.2046
cat__branch_IT,0.1843
num__cgpa,0.1709
num__academic_skill_index,0.1567
num__certifications,0.1444
cat__branch_CE,-0.1249
num__backlogs,-0.1244
cat__branch_Chemical,-0.124
num__projects_count,0.1089
cat__branch_ECE,0.1051
num__hackathons,0.0991
num__communication_skills,0.0916
num__coding_skills,0.0843
num__cgpa_projects_interaction,0.0788
num__overall_skill_score,0.0762
num__dsa_score,0.0705
num__open_source_contributions,0.0602
cat__branch_ME,-0.0579
cat__branch_EE,-0.048
cat__college_tier_Tier-2,0.0476
num__experience_score,-0.041
num__system_design,-0.034
