Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.6325,0.7954735959765298,0.623658269441402,0.6991650294695482,0.6855900394889339
XGBoost,0.6957,0.7166201673973694,0.9190215407082877,0.8052978437519995,0.6796356907697114
Random Forest,0.6406,0.7796785008166424,0.6622855056589997,0.7162034112444725,0.6778314932283382
Decision Tree,0.5928,0.7695968916949976,0.5785323110624315,0.6605252188411839,0.6348490725934521
